2026-02-12 10:12:41.290 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 2484 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-12 10:12:41.293 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-12 10:12:41.293 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-12 10:12:42.300 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-12 10:12:42.309 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-12 10:12:42.310 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-12 10:12:42.328 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-12 10:12:42.328 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 990 ms
2026-02-12 10:12:42.373 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-12 10:12:42.384 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-12 10:12:42.502 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@27be17c8
2026-02-12 10:12:42.503 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-12 10:12:42.503 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-12 10:12:42.575 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:12:42.595 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.010s)
2026-02-12 10:12:42.599 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:12:42.600 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:12:42.603 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-12 10:12:42.692 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-12 10:12:42.771 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-12 10:12:42.969 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:12:42.972 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-12 10:12:42.973 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:12:42.973 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:12:43.094 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-12 10:12:43.113 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.228 seconds (process running for 2.67)
2026-02-12 10:12:43.476 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-12 10:12:43.476 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-12 10:12:43.477 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-02-12 10:12:43.819 [tomcat-handler-12] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
